pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
11504,0.81,#1e201a,0.08,#85806f,0.05,#605c51,0.03,#dbd7cd,0.02,#595449,0.01,#b8b3a2,0.0,#aea798,,
11505,0.86,#21221c,0.06,#777266,0.04,#5f5c51,0.02,#59554a,0.02,#dad7cd,0.0,#bab3a3,0.0,#aea798,0.0,#54594f
11506,0.89,#1e201a,0.05,#5c5c51,0.04,#6b695e,0.02,#58554b,0.0,#e5dfd2,0.0,#b0a797,0.0,#beb59f,0.0,#53594e
11507,0.96,#1c1f19,0.02,#595b50,0.01,#716f65,0.0,#56554b,0.0,#53584d,0.0,#e1dbcd,0.0,#bab3a2,0.0,#afa897
11508,0.9,#242520,0.05,#66625b,0.02,#5a574d,0.02,#575149,0.0,#52554c,0.0,#ccc6bb,0.0,#565351,0.0,#b1ab9b
11509,0.46,#53524a,0.45,#22221d,0.04,#404036,0.03,#3e3b33,0.01,#8d877f,0.0,#797267,0.0,#81796a,0.0,#3a3e34
11510,0.86,#1a1a15,0.12,#4b4945,0.01,#40372d,0.01,#3b3a36,0.01,#3b3c37,0.0,#453c32,0.0,#93887e,0.0,#3b3c33
11511,0.89,#1c1d17,0.08,#4a4844,0.02,#42403d,0.01,#44433f,0.0,#473b32,0.0,#a79a8e,0.0,#44433a,0.0,#8b8074
11512,0.81,#1a1a15,0.13,#413f3b,0.02,#3a3228,0.01,#343331,0.01,#353733,0.01,#3e372d,0.0,#756d63,0.0,#35362e
11513,0.93,#1d1d17,0.05,#4f4b45,0.01,#403b33,0.01,#8f867d,0.0,#424039,0.0,#847b71,0.0,#413e3b,0.0,#7f766d
11514,0.98,#1e1e1b,0.01,#8b8471,0.01,#594d42,0.0,#edeae0,0.0,#666050,0.0,#bcb5a2,0.0,#ada592,,
11515,0.52,#0b0e0c,0.39,#3a362f,0.03,#2c2820,0.02,#4f453b,0.02,#29241d,0.01,#544d44,0.0,#282522,0.0,#574b3e
11516,0.46,#0a0d0b,0.34,#322e28,0.11,#4b463d,0.04,#434039,0.02,#3d3a35,0.01,#1d1c1b,0.0,#483b30,0.0,#272119
11517,0.71,#1a1817,0.22,#48443f,0.03,#333232,0.01,#3b322a,0.01,#363637,0.01,#40372e,0.0,#716050,0.0,#8a7b69
11518,0.75,#1a1917,0.18,#48443f,0.05,#343333,0.01,#3d342b,0.0,#383838,0.0,#3b3632,0.0,#897a69,0.0,#45392d
11519,0.74,#181715,0.2,#46423d,0.03,#333231,0.02,#363535,0.01,#3b3129,0.01,#3f362c,0.0,#877866,0.0,#716050
11520,0.74,#181715,0.19,#46423d,0.04,#333232,0.01,#3b322a,0.01,#363636,0.0,#41362d,0.0,#393430,0.0,#857665
11521,0.73,#181715,0.21,#45423d,0.04,#323130,0.01,#3a3129,0.01,#353534,0.0,#37332f,0.0,#40352c,0.0,#837463
11522,0.41,#1e1c18,0.31,#4c4944,0.21,#33363d,0.03,#3f382d,0.02,#7c7970,0.01,#776a59,0.01,#2e3035,0.01,#68665d
11523,0.41,#1e1c18,0.32,#4b4843,0.21,#33363d,0.03,#3d362b,0.02,#7a766d,0.01,#746654,0.01,#66635a,0.01,#2d2f34
11524,0.41,#1e1c18,0.34,#494643,0.17,#33363c,0.03,#3d362c,0.02,#7a776e,0.01,#726757,0.0,#2d2f35,0.0,#6a5b49
11525,0.43,#1e1c18,0.34,#4a4743,0.16,#32353c,0.03,#3e372c,0.02,#7a776f,0.01,#746856,0.01,#2d2f34,0.0,#646258
11526,0.43,#1f1c18,0.32,#4d4a45,0.19,#33363d,0.03,#3f382d,0.02,#7b7870,0.01,#2e3036,0.01,#786a58,0.01,#393026
